,Date,Time,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
0,16/12/2006,17:26:00,5.374,0.498,233.29,23.0,0.0,2.0,17.0
1,16/12/2006,17:27:00,5.388,0.502,233.74,23.0,0.0,1.0,17.0
2,16/12/2006,17:28:00,3.6660000000000004,0.528,235.68,15.8,0.0,1.0,17.0
3,16/12/2006,17:29:00,3.52,0.522,235.02,15.0,0.0,2.0,17.0
4,16/12/2006,17:30:00,3.702,0.52,235.09,15.8,0.0,1.0,17.0
5,16/12/2006,17:31:00,3.7,0.52,235.22,15.8,0.0,1.0,17.0
6,16/12/2006,17:32:00,3.668,0.51,233.99,15.8,0.0,1.0,17.0
7,16/12/2006,17:33:00,3.662,0.51,233.86,15.8,0.0,2.0,16.0
8,16/12/2006,17:34:00,4.448,0.498,232.86,19.6,0.0,1.0,17.0
9,16/12/2006,17:35:00,5.412000000000001,0.47,232.78,23.2,0.0,1.0,17.0
10,16/12/2006,17:36:00,5.224,0.478,232.99,22.4,0.0,1.0,16.0
11,16/12/2006,17:37:00,5.268,0.39799999999999996,232.91,22.6,0.0,2.0,17.0
12,16/12/2006,17:38:00,4.053999999999999,0.42200000000000004,235.24,17.6,0.0,1.0,17.0
13,16/12/2006,17:39:00,3.384,0.282,237.14,14.2,0.0,0.0,17.0
14,16/12/2006,17:40:00,3.27,0.152,236.73,13.8,0.0,0.0,17.0
15,16/12/2006,17:41:00,3.43,0.156,237.06,14.4,0.0,0.0,17.0
16,16/12/2006,17:42:00,3.266,0.0,237.13,13.8,0.0,0.0,18.0
17,16/12/2006,17:43:00,3.728,0.0,235.84,16.4,0.0,0.0,17.0
18,16/12/2006,17:44:00,5.894,0.0,232.69,25.4,0.0,0.0,16.0
19,16/12/2006,17:45:00,7.706,0.0,230.98,33.2,0.0,0.0,17.0
